respondent_id;Gusta_Riesgo;Licencia;Amigos_Moto;Familiares_Moto;Genero;Edad;Posición_Jefe_hogar;Posición_Hijo;Posición_Pareja;Ocupación_Independiente;Ocupación_Estudiante;Ocupación_Hogar;Ingreso_Personal;Ingreso_Norm_Personas;Estrato;Menores_16;Mayores_65;Nivel_Estudio;Vehículos;Otros_Licencia;Edad_18_40;Hombre_18_40
13119134267;1;0;1;0;0;52;0;0;1;0;0;0;0.5;0.194;3;1;0;2;1;1;0;0
13119091842;2;1;1;1;0;45;0;0;1;1;0;0;2.25;0.375;3;0;1;4;1;1;0;0
13119120895;1;1;1;1;0;40;0;0;1;1;0;0;3;0.583333333;3;0;1;3;1;1;1;0
13119179077;4;1;1;1;0;37;1;0;0;0;0;0;5.85;3;3;1;0;4;1;1;1;0
13119133782;3;1;0;0;0;39;1;0;0;0;0;0;1.75;1.05;3;1;0;4;1;1;1;0
13119107500;3;1;1;1;1;34;0;0;1;1;0;0;1.164;0.75;2;1;1;3;1;1;1;1
13119160942;5;1;0;0;1;20;1;0;0;1;0;0;1.75;0.75;3;1;0;4;1;1;1;1
13119167173;1;1;1;1;1;34;1;0;0;0;0;0;1.164;0.388;3;1;0;5;1;0;1;1
13119132045;2;1;1;1;0;67;0;0;1;0;0;0;1.164;0.583333333;2;0;1;4;1;1;0;0
13119151649;3;1;1;1;1;26;0;0;1;0;0;0;3;1.4;3;1;0;4;1;1;1;1
13119164144;4;0;1;1;0;20;0;0;1;0;0;1;0.5;0.388;2;1;0;2;0;0;1;0
13119150117;1;1;0;1;1;54;1;0;0;1;0;0;1.164;0.291666667;1;1;0;3;1;1;0;0
13119117650;3;1;1;0;0;58;0;0;1;1;0;0;2.25;3.95;3;0;0;4;1;1;0;0
13119155206;5;1;1;0;0;18;0;1;0;0;0;0;1.75;0.388;3;0;0;3;1;1;1;0
13119151974;3;0;1;1;0;18;0;1;0;0;0;0;1.164;0.84;3;1;0;3;1;1;1;0
13119166682;3;0;1;0;0;20;0;1;0;0;1;0;0.664;0.75;3;0;0;3;0;0;1;0
13119114399;3;1;1;1;0;26;1;0;0;0;0;0;1.75;0.5625;2;1;0;3;1;1;1;0
13119131091;4;1;1;1;1;21;0;0;1;0;0;0;1.164;0.221333333;2;0;0;2;1;1;1;1
13119134702;2;1;1;1;0;54;1;0;0;0;0;0;7.9;4;3;0;1;3;1;1;0;0
13119143002;4;0;1;1;0;19;0;1;0;0;1;0;0.5;0.6;3;1;0;2;1;1;1;0
13119125827;3;1;1;1;0;25;0;0;1;0;0;0;1.164;1.17;3;1;0;4;1;1;1;0
13119143762;2;1;0;1;0;29;1;0;0;1;0;0;1.75;0.388;2;1;0;3;1;1;1;0
13119139787;3;1;1;1;1;49;1;0;0;0;0;0;0.5;0.2328;3;1;1;1;0;1;0;0
13119138874;2;1;1;1;0;21;0;1;0;0;0;0;2.25;0.6;2;1;0;4;1;1;1;0
13119129087;3;1;1;1;0;36;1;0;0;0;0;0;3;1.4625;3;1;0;5;1;1;1;0
13119138302;4;1;1;1;1;44;1;0;0;1;0;0;1.75;1;3;1;1;3;1;1;0;0
13119131325;2;0;1;1;0;59;0;0;1;0;0;1;0.5;0.388;3;0;1;3;1;1;0;0
13119133048;3;1;1;1;0;51;0;0;1;1;0;0;1.75;1.95;3;0;0;4;1;1;0;0
13119137972;3;1;1;1;1;28;1;0;0;0;0;0;4.2;4.2;3;0;0;3;1;0;1;1
13119138634;5;1;1;0;1;28;0;0;1;0;0;0;2.25;1.4;3;1;0;4;1;1;1;1
13119120469;2;1;1;1;0;20;0;1;0;1;0;0;1.164;0.291;2;0;0;0;1;1;1;0
13119142278;4;0;1;1;0;18;0;1;0;0;1;0;0.5;0.1;2;0;0;3;0;0;1;0
13119149195;5;0;1;1;0;23;0;1;0;0;1;0;1.75;0.875;2;0;0;3;0;0;1;0
13119140745;1;1;1;1;0;24;0;1;0;0;0;0;1.75;0.875;3;0;0;4;1;1;1;0
13119126821;2;0;1;1;0;32;0;0;1;0;0;0;0.5;0.583333333;3;1;0;3;1;1;1;0
13119121079;2;1;1;1;1;59;1;0;0;1;0;0;2.25;1.125;3;0;0;5;1;1;0;0
13119111751;2;0;1;1;0;32;1;0;0;0;0;1;0.5;0.291;3;1;0;2;0;0;1;0
13119121203;1;1;0;1;0;50;1;0;0;0;0;0;3;0.835714286;3;1;0;4;0;1;0;0
13119135154;5;0;1;0;1;50;0;1;0;0;0;0;0.664;0.6;2;1;1;4;0;0;0;0
13119050593;1;1;0;1;0;23;0;0;1;0;0;0;1.164;0.75;3;0;1;4;1;1;1;0
13119126881;3;0;1;1;0;22;0;1;0;0;0;0;0.5;0.35;2;0;0;3;1;1;1;0
13119127752;4;0;1;1;0;25;1;0;0;0;0;0;1.164;0.582;2;1;0;3;0;0;1;0
13119107353;2;1;1;1;1;39;1;0;0;0;0;0;3;1.4;3;0;0;4;1;0;1;1
